,variable,relative_importance,scaled_importance,percentage
94,remainder__municipality_name.Hole,7.881866455078125,0.0013770450750611209,0.0005918161323413453
95,remainder__grunnkrets_id.3013616,7.55109977722168,0.0013192566530759846,0.0005669802565862724
96,remainder__chain_name.G-SPORT,7.44371223449707,0.0013004949184443903,0.0005589169786102832
97,remainder__municipality_name.Karmøy,7.423807144165039,0.0012970172895392837,0.0005574223892714068
98,remainder__municipality_name.Larvik,7.3302412033081055,0.0012806703343117578,0.0005503969171256369
99,remainder__chain_name.FRI BOKHANDEL SA,6.706605434417725,0.0011717145978657078,0.0005035707356827076
100,remainder__chain_name.BUNNPRIS,6.5942583084106445,0.001152086371804399,0.0004951350635012361
101,remainder__lv4.3.4.2.0,6.49163818359375,0.0011341575552878216,0.0004874297508426599
102,remainder__t_district.Porsgrunn østPorsgrunn,6.365222930908203,0.001112071479341802,0.0004779377623219571
103,remainder__t_district.Sentrum 1Oslo,6.09490966796875,0.0010648449055884934,0.0004576410786994723
104,remainder__lv4.2.9.7.0,5.884894847869873,0.001028153104813224,0.0004418719510095197
105,remainder__t_district.SinsenOslo,5.837030410766602,0.0010197906835822518,0.0004382780121620906
106,remainder__t_district.SlattumNittedal,5.696961402893066,0.0009953191528147291,0.0004277608207109214
107,remainder__chain_name.BIG HORN STEAK HOUSE,5.344485282897949,0.0009337378626619111,0.0004012948744446285
108,remainder__grunnkrets_id.3010304,5.257077217102051,0.0009184667530572424,0.00039473177118354264
109,remainder__municipality_name.Kongsvinger,5.176199913024902,0.0009043366363014702,0.00038865903529466
110,remainder__t_district.Sentrum 3Oslo,5.166928768157959,0.0009027168696571144,0.00038796290410177543
111,remainder__t_district.Tiller-HårstadTrondheim,5.152590751647949,0.0009002118671765746,0.00038688632287260053
112,remainder__grunnkrets_id.3010306,5.0666351318359375,0.0008851945151812618,0.0003804322776588081
113,remainder__lv2_desc.Sports and leisure,5.025794982910156,0.0008780593110689444,0.0003773657630052988
114,remainder__chain_name.SKEIDAR,5.001491069793701,0.0008738131614986018,0.00037554088460329627
115,remainder__grunnkrets_id.3010103,4.988094806671143,0.0008714726932526247,0.00037453501566676894
116,remainder__grunnkrets_id.9065211,4.982515335083008,0.0008704979008077547,0.0003741160766610629
117,remainder__t_district.AurlandAurland,4.903642654418945,0.0008567180128732998,0.00036819385949536535
118,remainder__chain_name.EXPERT,4.853731155395508,0.0008479979483668958,0.00036444621539612047
119,remainder__chain_name.RINGO,4.778692245483398,0.0008348878605569393,0.00035881185991796046
120,remainder__municipality_name.Moss,4.74352502822876,0.0008287437773502384,0.00035617130179388325
121,remainder__grunnkrets_id.12010116,4.704583644866943,0.0008219403075781887,0.0003532473574438285
122,remainder__address.STORGATA 30,4.649674415588379,0.0008123470869642143,0.00034912445484370293
123,remainder__grunnkrets_id.16011206,4.485881328582764,0.0007837307097297557,0.00033682592228058655
124,remainder__t_district.Stokke/Lura/TronesSandnes,4.418397903442383,0.0007719406446775947,0.00033175887630976887
125,remainder__grunnkrets_id.12010118,4.358779430389404,0.0007615246695823334,0.00032728237644271286
126,remainder__grunnkrets_id.3010808,4.334130764007568,0.0007572182879858699,0.0003254316119710474
127,remainder__t_district.Gulskogen-SundhaugenDrammen,4.16294002532959,0.0007273094630982439,0.00031257762092279953
128,remainder__t_district.RøabyenOslo,4.098072052001953,0.0007159763450215646,0.0003077069582052335
129,remainder__grunnkrets_id.2330315,4.084433078765869,0.0007135934727627305,0.00030668286518923397
130,remainder__lv4.2.4.1.0,4.046206951141357,0.0007069149657004753,0.0003038126263778989
131,remainder__t_district.BugårdenSandefjord,4.039720058441162,0.0007057816372311128,0.00030332555294540383
132,remainder__grunnkrets_id.2380207,4.026067733764648,0.0007033964323350293,0.00030230045742601485
133,remainder__municipality_name.Elverum,4.025686264038086,0.0007033297855564722,0.00030227181447203106
134,remainder__mall_name.Sandvika Storsenter,4.002224922180176,0.0006992308420582675,0.00030051020119464025
135,remainder__chain_name.SKIN TONIC,3.9251785278320312,0.0006857700255761545,0.0002947251121711403
136,remainder__chain_name.INTERSPORT NORGE,3.8539810180664062,0.0006733310708262674,0.0002893791912395975
137,remainder__lv4.1.1.7.0,3.8183512687683105,0.000667106178400566,0.0002867039035338149
138,remainder__grunnkrets_id.19030402,3.7910594940185547,0.0006623380179371753,0.00028465467919473394
139,remainder__t_district.HessøyÅlesund,3.6857755184173584,0.0006439437986350868,0.0002767493492081194
140,remainder__lv4.2.6.5.0,3.67295503616333,0.0006417039253704943,0.00027578671323026145
141,remainder__grunnkrets_id.12010910,3.666651487350464,0.0006406026290090756,0.00027531340631752483
142,remainder__t_district.SemTønsberg,3.6257050037384033,0.0006334488471072355,0.00027223890744059256
143,remainder__chain_name.EGON,3.5998423099517822,0.0006289303621380141,0.0002702969867678735
144,remainder__grunnkrets_id.3010502,3.5565335750579834,0.0006213638700599595,0.00026704511639839634
145,remainder__t_district.BjerkeOslo,3.5547165870666504,0.0006210464231228449,0.0002669086864282021
146,remainder__t_district.HusebyOslo,3.4969208240509033,0.0006109488946663767,0.0002625690461756501
147,remainder__grunnkrets_id.1010209,3.3911919593811035,0.000592476948558796,0.0002546303113439519
148,remainder__lv4.2.6.1.0,3.378180980682373,0.0005902037935591615,0.00025365337179094824
149,remainder__grunnkrets_id.11220101,3.349841833114624,0.0005852526460343951,0.00025152550464133545
150,remainder__t_district.Byneset-LeinstrandTrondheim,3.336167573928833,0.0005828636089485446,0.00025049876215209245
151,remainder__lv1_desc.Retail,3.2337512969970703,0.0005649704068042586,0.00024280875557205136
152,remainder__address.GAMLE DRAMMENSVEI 38,3.2246391773223877,0.0005633784235357138,0.00024212456491060874
153,remainder__lv4.2.6.2.0,3.1967334747314453,0.0005585030034130829,0.00024002924331746007
154,remainder__lv4.2.8.6.0,3.155517339706421,0.0005513021105696502,0.00023693449745243046
155,remainder__grunnkrets_id.6250102,3.0830094814300537,0.0005386342241354196,0.00023149018797395318
156,remainder__municipality_name.Ringerike,3.0622994899749756,0.0005350159705275575,0.0002299351620021708
157,remainder__chain_name.MEGAFLIS,3.0163729190826416,0.0005269921149316551,0.00022648672936097957
158,remainder__chain_name.HAGELANDGRUPPEN,2.9165878295898438,0.0005095586089424665,0.00021899428755604196
159,remainder__grunnkrets_id.18040101,2.9144272804260254,0.000509181138250414,0.00021883206102541602
160,remainder__chain_name.BYGGTORGET,2.9040417671203613,0.0005073666797041984,0.00021805225660320615
161,remainder__grunnkrets_id.3010310,2.9023332595825195,0.000507068185444736,0.00021792397197305106
162,remainder__lv4.3.3.7.0,2.8807389736175537,0.0005032954362733314,0.0002163025480535649
163,remainder__t_district.Hokksund vestØvre Eiker,2.859513521194458,0.0004995871262059441,0.0002147088182902119
164,remainder__t_district.HaneborgliaLørenskog,2.8068740367889404,0.0004903904539243841,0.00021075634126629014
165,remainder__t_district.Søndeled indreRisør,2.8054115772247314,0.0004901349468370911,0.0002106465313414546
166,remainder__chain_name.CLASSIC NORWAY,2.794311046600342,0.0004881955672353176,0.00020981303928237127
167,remainder__mall_name.Magasinet Drammen,2.790752410888672,0.00048757383609985357,0.00020954583632539457
168,remainder__chain_name.MALIA,2.7563588619232178,0.0004815649208909137,0.00020696336969236584
169,remainder__grunnkrets_id.11490606,2.7457425594329834,0.00047971014104367105,0.00020616623628299575
170,remainder__municipality_name.Bærum,2.7439470291137695,0.0004793964429878504,0.0002060314174789631
171,remainder__municipality_name.Sola,2.7213809490203857,0.0004754539111480717,0.00020433702563420314
172,remainder__grunnkrets_id.6050103,2.705726385116577,0.0004727188939730369,0.00020316159041009152
173,remainder__chain_name.LIBRIS,2.7010157108306885,0.0004718958895663306,0.00020280788573208365
174,remainder__grunnkrets_id.10040205,2.686932325363159,0.0004694353738104776,0.00020175042367469298
175,remainder__grunnkrets_id.18040312,2.6570942401885986,0.00046422234610021866,0.00019951000761776993
176,remainder__t_district.BekkelagetOslo,2.6360983848571777,0.00046055414906267546,0.00019793351733234595
177,remainder__grunnkrets_id.3010503,2.6319713592529297,0.0004598331142271614,0.00019762363637393336
178,remainder__chain_name.ZOO 1 GRUPPEN,2.584306478500366,0.00045150555759222185,0.00019404468137180703
179,remainder__address.TORGGATA 2,2.559664726257324,0.0004472003839686197,0.00019219443605368252
180,remainder__grunnkrets_id.7010705,2.553788185119629,0.0004461736903449484,0.00019175319134756157
181,remainder__mall_name.Paleet,2.5482444763183594,0.0004452051460355681,0.00019133693761879149
182,remainder__address.TRYGVE LIES PLASS 1,2.508345365524292,0.0004382343511951036,0.00018834108155239108
183,remainder__grunnkrets_id.7060110,2.470200777053833,0.000431570089881765,0.00018547696517247003
184,remainder__grunnkrets_id.6020308,2.390838146209717,0.00041770460249110087,0.00017951795971274948
185,remainder__grunnkrets_id.9064203,2.3735897541046143,0.00041469112674440747,0.00017822285064652418
186,remainder__municipality_name.Bergen,1.8276691436767578,0.00031931304691412834,0.00013723197290579776
187,remainder__municipality_name.Stavanger,1.8203649520874023,0.0003180369277217073,0.00013668353194439228
188,remainder__t_district.Nanset østLarvik,1.8014920949935913,0.00031473964083395233,0.00013526644864881145
189,remainder__municipality_name.Arendal,1.7819581031799316,0.00031132684674811065,0.00013379972353360736
190,remainder__chain_name.HANSEN & DYSVIK,1.4897831678390503,0.0002602808085970527,0.00011186153907107843
191,remainder__chain_name.VITA,1.0553245544433594,0.0001843763134747118,7.923987290765786e-05
192,remainder__chain_name.DITT APOTEK,0.4304046630859375,7.519622731034418e-05,3.231727212088048e-05
